,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Clyde River,70.47,-68.59,12.2,85,90,24.16
1,Yellowknife,62.46,-114.35,12.33,66,20,17.22
2,Vaini,-21.2,-175.2,64.4,93,20,2.24
3,Tubualá,9.52,-79.03,93.13,49,20,9.17
4,Jamestown,42.1,-79.24,34.48,69,90,28.86
5,Pasil,17.38,121.13,64.54,71,77,2.01
6,Barrow,71.29,-156.79,-14.8,91,75,5.82
7,Rikitea,-23.12,-134.97,76.86,75,94,6.13
8,Puerto Vallarta,20.62,-105.23,81.61,61,20,6.93
9,Port Alfred,-33.59,26.89,66.81,81,95,2.44
10,Dikson,73.51,80.55,14.16,97,98,6.24
11,Castro,-24.79,-50.01,71.74,34,37,4.25
12,Hilo,19.73,-155.09,67.23,73,90,3.36
13,Atuona,-9.8,-139.03,81.95,77,19,11.95
14,Provideniya,64.38,-173.3,9.54,92,100,15.28
15,Saint George,37.1,-113.58,54.18,57,1,3.36
16,Krasnoarmeysk,51.02,45.7,48.99,45,59,3.0
17,Ilulissat,69.22,-51.1,35.6,55,20,5.82
18,Itarema,-2.92,-39.92,85.28,71,98,9.8
19,Teya,60.38,92.63,25.32,94,93,5.64
20,Kapaa,22.08,-159.32,66.54,88,1,6.93
21,Albany,42.6,-73.97,41.9,56,75,25.28
22,Kirovskiy,45.09,133.51,37.26,75,100,2.71
23,Taoudenni,22.68,-3.98,99.73,8,0,5.73
24,Severo-Kuril'sk,50.68,156.12,31.05,95,77,14.74
25,Cape Town,-33.93,18.42,64.26,82,3,4.7
26,Hobart,-42.88,147.33,52.25,93,75,1.12
27,Verāval,20.9,70.37,77.61,67,0,11.16
28,Licata,37.11,13.95,57.74,51,0,5.82
29,Ushuaia,-54.8,-68.3,46.4,70,75,23.04
30,Ponta do Sol,32.67,-17.1,63.68,64,20,12.75
31,Punta Arenas,-53.15,-70.92,48.09,66,75,17.22
32,Bluff,-46.6,168.33,42.01,95,10,1.99
33,Vestmannaeyjar,63.44,-20.27,42.42,87,100,20.27
34,Saint-Philippe,-21.36,55.77,71.76,74,20,16.11
35,Cañon City,38.44,-105.24,60.98,21,1,9.17
36,Huron,41.15,-82.55,42.46,48,75,19.46
37,New Norfolk,-42.78,147.06,51.82,93,75,1.12
38,Lebowakgomo,-24.2,29.5,63.48,77,40,3.36
39,Thompson,55.74,-97.86,30.2,39,75,3.36
40,College,64.86,-147.8,15.46,78,90,5.82
41,Verkhnetulomskiy,68.61,31.8,28.4,50,92,4.47
